displacement (mm),userSpeed (Gamma/kA),userSpeed (m/s),longSpeed (Gamma/kA),longSpeed (m/s),forceProjOnVelAve (1e-3\hbar*k*\Gamma),forceProjOnVelStd (1e-3\hbar*k*\Gamma),accelProjOnVelAve (mm/ms^2),accelProjOnVelStd (mm/ms^2),forceProjOnPosAve (1e-3\hbar*k*\Gamma),forceProjOnPosStd (1e-3\hbar*k*\Gamma),accelProjOnPosAve (mm/ms^2),accelProjOnPosStd (mm/ms^2),forceProjOnLongAve (1e-3\hbar*k*\Gamma),forceProjOnLongStd (1e-3\hbar*k*\Gamma),accelProjOnLongAve (mm/ms^2),accelProjOnLongStd (mm/ms^2),PF1Down,PF0,PF1Up,PF2,PExc
3.0,5.0,21.978450000000002,32.0,140.66208,-16.685567267984457,0.6746610563826082,-3.8875557139275534,0.15718868903768643,-16.66104385046318,0.6722869816064356,-3.8818420243430944,0.1566355554334661,0.0,0.0,0.0,0.0,0.3154466535418706,0.061013001588432356,0.2137360285022404,0.2556018847693227,0.15420243159814467
4.5,-5.0,-21.978450000000002,32.0,140.66208,-14.403308142607822,1.2324543820469804,-3.355814157825638,0.2871484677823933,14.407222999229793,1.2317774893828632,3.3567262768435606,0.2869907591530227,0.0,0.0,0.0,0.0,0.3455321202041616,0.06170128217913583,0.23657966639132105,0.24186637359307528,0.11432055763231415
4.5,-4.0,-17.58276,32.0,140.66208,-25.366218561177202,1.583971383500514,-5.910053061093892,0.36904810629006485,25.341060281497626,1.5813726813810176,5.904191455530826,0.3684426369577259,0.0,0.0,0.0,0.0,0.31482673628152175,0.05085294988122192,0.24514502111348185,0.2569861859165917,0.13218910680719162
4.5,-3.0,-13.18707,32.0,140.66208,-32.87064582768035,2.2701456935338653,-7.6585030017576186,0.5289192582190024,32.873446446710346,2.2631601161456922,7.65915551553421,0.5272916946573738,0.0,0.0,0.0,0.0,0.280849407884542,0.06192893861072287,0.262996143222749,0.24786177849275992,0.14636373178923645
4.5,-2.0,-8.79138,32.0,140.66208,-20.568428475406986,1.590167116150571,-4.792220148217805,0.37049164461746187,20.591914723947916,1.5905202053061887,4.797692188709302,0.37057391055079225,0.0,0.0,0.0,0.0,0.2808892130056835,0.078462645151315,0.25757748009863823,0.24847126469264613,0.13459939705172633
4.5,-1.0,-4.39569,32.0,140.66208,-4.685830312110675,0.49652661975894874,-1.0917475032025836,0.11568530255874264,4.666072590770365,0.48679882368833066,1.0871441690002104,0.11341883186638473,0.0,0.0,0.0,0.0,0.2523825211145113,0.06846251049864055,0.24826349428401193,0.3143976257171344,0.11649384838570964
4.5,-0.75,-3.2967675,32.0,140.66208,0.8462725618965254,0.7299940857959699,0.1971723035064876,0.17008068313114347,-0.8406087025637514,0.7320406905465446,-0.1958526858777687,0.1705575197807139,0.0,0.0,0.0,0.0,0.24931169118884813,0.0680431362907762,0.23701278287097832,0.33207321038297166,0.11355917926643364
4.5,-0.5,-2.197845,32.0,140.66208,6.206877450886937,0.39173076369251364,1.446134944788026,0.09126900777512446,-6.266447599263446,0.4079765927067004,-1.46001414152022,0.09505410925817526,0.0,0.0,0.0,0.0,0.24971394472619818,0.06541029139369317,0.21015708261944455,0.3694087361081754,0.10530994515249606
4.5,-0.25,-1.0989225,32.0,140.66208,8.258352348059898,0.3177961425056029,1.9241062855518607,0.07404304509516556,-8.287523123727155,0.3127436584276285,-1.9309027590432077,0.07286587125196364,0.0,0.0,0.0,0.0,0.26507180853591394,0.06722240627196964,0.19011903718097048,0.3762160147801043,0.10137073323105042
4.5,-0.1,-0.43956900000000004,32.0,140.66208,6.684756296498205,0.33532083591434714,1.5574755187693385,0.07812610807419378,-6.802723361491606,0.33269075220412075,-1.5849605619929097,0.07751332717249695,0.0,0.0,0.0,0.0,0.2749766781746751,0.0736138261677434,0.1797140872564234,0.3716804735248537,0.10001493487631315
